year,muni_code,muni,financial_strength_index_2016,rev_to_exp_ratio_2016,exp_public_works_thous_2016
2016,03214,Iwate-ken Hachimantai-shi,0.29,4.50,"2,549,532.00"
2016,03215,Iwate-ken Oshu-shi,0.42,1.20,"5,518,675.00"
2016,03216,Iwate-ken Takizawashi,0.57,2.90,"1,718,746.00"
2016,03301,Iwate-ken Shizukuishi-cho,0.39,3.40,"997,002.00"
2016,03302,Iwate-ken Kuzumaki-machi,0.15,10.80,"394,876.00"
2016,03303,Iwate-ken Iwate-machi,0.31,4.80,"898,077.00"
2016,03321,Iwate-ken Shiwa-cho,0.44,2.40,"1,467,217.00"
2016,03322,Iwate-ken Yahaba-cho,0.66,6.10,"1,349,863.00"
2016,03366,Iwate-ken Nishiwaga-machi,0.15,5.90,"1,072,982.00"
2016,03381,Iwate-ken Kanegasaki-cho,0.55,5.70,"895,206.00"
2016,03402,Iwate-ken Hiraizumi-cho,0.31,4.60,"578,999.00"
2016,03441,Iwate-ken Sumita-cho,0.17,6.60,"357,259.00"
2016,03461,Iwate-ken Otsuchi-cho,0.25,7.60,"20,608,040.00"
2016,03482,Iwate-ken Yamada-machi,0.28,32.10,"20,214,888.00"
2016,03483,Iwate-ken Iwaizumi-cho,0.15,13.40,"854,364.00"
2016,03484,Iwate-ken Tanohata-mura,0.14,14.10,"1,476,313.00"
2016,03485,Iwate-ken Fudai-mura,0.15,3.90,"408,395.00"
2016,03501,Iwate-ken Karumai-machi,0.23,8.50,"598,927.00"
2016,03503,Iwate-ken Noda-mura,0.18,16.60,"2,586,508.00"
2016,03506,Iwate-ken Kunohe-mura,0.18,3.90,"450,022.00"
2016,03507,Iwate-ken Hirono-cho,0.23,1.80,"782,647.00"
2016,03524,Iwate-ken Ichinohe-machi,0.33,6.50,"789,678.00"
2016,04100,Miyagi-ken Sendai-shi,0.91,1.40,"63,883,709.00"
2016,04101,Miyagi-ken Sendai-shi Aoba-ku,,,
2016,04102,Miyagi-ken Sendai-shi Miyagino-ku,,,
2016,04103,Miyagi-ken Sendai-shi Wakabayashi-ku,,,
2016,04104,Miyagi-ken Sendai-shi Taihaku-ku,,,
2016,04105,Miyagi-ken Sendai-shi Izumi-ku,,,
